tray,position,light,x,y
1,D1,131.16,24.4,75
1,D2,151.6,24.4,68.4
1,D3,163.34,24.4,61.8
1,D4,168.12,24.4,55.2
1,D5,169.7,24.4,48.6
1,C1,118.62,17.8,75
1,C2,137.08,17.8,68.4
1,C3,147.72,17.8,61.8
1,C4,153.6,17.8,55.2
1,C5,155.76,17.8,48.6
1,B1,99.1,11.2,75
1,B2,113.48,11.2,68.4
1,B3,121.98,11.2,61.8
1,B4,127.68,11.2,55.2
1,B5,128.04,11.2,48.6
1,A1,83.5,4.6,75
1,A2,92.66,4.6,68.4
1,A3,100.02,4.6,61.8
1,A4,102.34,4.6,55.2
1,A5,103.32,4.6,48.6
2,D1,143.38,53.8,75
2,D2,165.18,53.8,68.4
2,D3,175.96,53.8,61.8
2,D4,178.76,53.8,55.2
2,D5,179.14,53.8,48.6
2,C1,143.56,47.2,75
2,C2,165.08,47.2,68.4
2,C3,175.48,47.2,61.8
2,C4,177.72,47.2,55.2
2,C5,177.44,47.2,48.6
2,B1,144.44,40.6,75
2,B2,165.74,40.6,68.4
2,B3,176.1,40.6,61.8
2,B4,177.06,40.6,55.2
2,B5,175.48,40.6,48.6
2,A1,141.4,34,75
2,A2,162.2,34,68.4
2,A3,173.9,34,61.8
2,A4,175.8,34,55.2
2,A5,175.3,34,48.6
3,D1,138.62,83.2,75
3,D2,161.84,83.2,68.4
3,D3,174.74,83.2,61.8
3,D4,179.56,83.2,55.2
3,D5,181.4,83.2,48.6
3,C1,142.86,76.6,75
3,C2,165.68,76.6,68.4
3,C3,177.88,76.6,61.8
3,C4,182.14,76.6,55.2
3,C5,184.02,76.6,48.6
3,B1,145,70,75
3,B2,167,70,68.4
3,B3,179.1,70,61.8
3,B4,183.4,70,55.2
3,B5,186,70,48.6
3,A1,144.5,63.4,75
3,A2,166.34,63.4,68.4
3,A3,177.88,63.4,61.8
3,A4,181.42,63.4,55.2
3,A5,182.7,63.4,48.6
4,D1,133.72,112.6,75
4,D2,155,112.6,68.4
4,D3,168.46,112.6,61.8
4,D4,173.92,112.6,55.2
4,D5,175.78,112.6,48.6
4,C1,134.5,106,75
4,C2,155,106,68.4
4,C3,167.8,106,61.8
4,C4,172.2,106,55.2
4,C5,173.8,106,48.6
4,B1,134.82,99.4,75
4,B2,155.08,99.4,68.4
4,B3,167.32,99.4,61.8
4,B4,170.7,99.4,55.2
4,B5,172.12,99.4,48.6
4,A1,132.84,92.8,75
4,A2,155.84,92.8,68.4
4,A3,168.64,92.8,61.8
4,A4,174.32,92.8,55.2
4,A5,176.32,92.8,48.6
5,D1,134.4,136,75
5,D2,155.6,136,68.4
5,D3,168,136,61.8
5,D4,173.2,136,55.2
5,D5,175.6,136,48.6
5,C1,135.22,131.4,75
5,C2,156.58,131.4,68.4
5,C3,168.92,131.4,61.8
5,C4,174.58,131.4,55.2
5,C5,177.44,131.4,48.6
5,B1,135.18,126.8,75
5,B2,156.36,126.8,68.4
5,B3,169.2,126.8,61.8
5,B4,175,126.8,55.2
5,B5,178,126.8,48.6
5,A1,133.88,122.2,75
5,A2,155.44,122.2,68.4
5,A3,169.2,122.2,61.8
5,A4,175.18,122.2,55.2
5,A5,178,122.2,48.6
6,D1,132.58,165.4,75
6,D2,151.9,165.4,68.4
6,D3,161.36,165.4,61.8
6,D4,165.24,165.4,55.2
6,D5,166.16,165.4,48.6
6,C1,131.66,160.8,75
6,C2,149.6,160.8,68.4
6,C3,159.52,160.8,61.8
6,C4,162.48,160.8,55.2
6,C5,164.32,160.8,48.6
6,B1,131.12,156.2,75
6,B2,149.58,156.2,68.4
6,B3,159.96,156.2,61.8
6,B4,163.14,156.2,55.2
6,B5,165.14,156.2,48.6
6,A1,130.66,151.6,75
6,A2,150,151.6,68.4
6,A3,160.88,151.6,61.8
6,A4,164.08,151.6,55.2
6,A5,166.52,151.6,48.6
7,D1,134.04,194.8,75
7,D2,152.84,194.8,68.4
7,D3,164.24,194.8,61.8
7,D4,167.96,194.8,55.2
7,D5,169.08,194.8,48.6
7,C1,134.96,190.2,75
7,C2,154.12,190.2,68.4
7,C3,165.16,190.2,61.8
7,C4,169.34,190.2,55.2
7,C5,170.92,190.2,48.6
7,B1,134.56,185.6,75
7,B2,154.44,185.6,68.4
7,B3,166.08,185.6,61.8
7,B4,170.72,185.6,55.2
7,B5,171.44,185.6,48.6
7,A1,134.9,181,75
7,A2,154.9,181,68.4
7,A3,167,181,61.8
7,A4,171.8,181,55.2
7,A5,171.9,181,48.6
8,D1,130.84,224.2,75
8,D2,151.64,224.2,68.4
8,D3,164.4,224.2,61.8
8,D4,172.16,224.2,55.2
8,D5,174.78,224.2,48.6
8,C1,130.08,219.6,75
8,C2,150.8,219.6,68.4
8,C3,162.22,219.6,61.8
8,C4,168.28,219.6,55.2
8,C5,170.8,219.6,48.6
8,B1,131,215,75
8,B2,150.8,215,68.4
8,B3,161.7,215,61.8
8,B4,166.9,215,55.2
8,B5,168.5,215,48.6
8,A1,131.92,210.4,75
8,A2,150.96,210.4,68.4
8,A3,161.24,210.4,61.8
8,A4,165.16,210.4,55.2
8,A5,166.2,210.4,48.6
9,D1,117.08,253.6,75
9,D2,132.72,253.6,68.4
9,D3,143.22,253.6,61.8
9,D4,151.44,253.6,55.2
9,D5,155.86,253.6,48.6
9,C1,125.6,249,75
9,C2,142.2,249,68.4
9,C3,153,249,61.8
9,C4,162.1,249,55.2
9,C5,167,249,48.6
9,B1,128.24,244.4,75
9,B2,147.72,244.4,68.4
9,B3,159.9,244.4,61.8
9,B4,168.24,244.4,55.2
9,B5,173.84,244.4,48.6
9,A1,130.04,239.8,75
9,A2,152.6,239.8,68.4
9,A3,166.32,239.8,61.8
9,A4,174.46,239.8,55.2
9,A5,180,239.8,48.6
10,D1,165.59,24.4,39.5
10,D2,161.17,24.4,32.9
10,D3,155.46,24.4,26.3
10,D4,144.56,24.4,19.7
10,D5,126.02,24.4,13.1
10,C1,152.17,17.8,39.5
10,C2,147.97,17.8,32.9
10,C3,142.41,17.8,26.3
10,C4,132.02,17.8,19.7
10,C5,114.8,17.8,13.1
10,B1,126.56,11.2,39.5
10,B2,125.2,11.2,32.9
10,B3,121.29,11.2,26.3
10,B4,112.88,11.2,19.7
10,B5,99.29,11.2,13.1
10,A1,101.48,4.6,39.5
10,A2,99.85,4.6,32.9
10,A3,96.48,4.6,26.3
10,A4,92.66,4.6,19.7
10,A5,80.63,4.6,13.1
11,D1,177.27,53.8,39.5
11,D2,173.35,53.8,32.9
11,D3,168.82,53.8,26.3
11,D4,156.89,53.8,19.7
11,D5,139.23,53.8,13.1
11,C1,174.63,47.2,39.5
11,C2,170.89,47.2,32.9
11,C3,166.74,47.2,26.3
11,C4,156.84,47.2,19.7
11,C5,138.29,47.2,13.1
11,B1,171.99,40.6,39.5
11,B2,169.57,40.6,32.9
11,B3,165.42,40.6,26.3
11,B4,155.52,40.6,19.7
11,B5,136.97,40.6,13.1
11,A1,171.75,34,39.5
11,A2,168.85,34,32.9
11,A3,164.1,34,26.3
11,A4,153.6,34,19.7
11,A5,134.55,34,13.1
12,D1,180.04,83.2,39.5
12,D2,178.49,83.2,32.9
12,D3,172.45,83.2,26.3
12,D4,160.61,83.2,19.7
12,D5,140.95,83.2,13.1
12,C1,182.7,76.6,39.5
12,C2,180.47,76.6,32.9
12,C3,173.81,76.6,26.3
12,C4,161.93,76.6,19.7
12,C5,141.29,76.6,13.1
12,B1,185.75,70,39.5
12,B2,182.45,70,32.9
12,B3,176.3,70,26.3
12,B4,162.95,70,19.7
12,B5,141.4,70,13.1
12,A1,181.79,63.4,39.5
12,A2,178.6,63.4,32.9
12,A3,173,63.4,26.3
12,A4,160.97,63.4,19.7
12,A5,140.08,63.4,13.1
13,D1,177.04,112.6,39.5
13,D2,177.04,112.6,32.9
13,D3,173.08,112.6,26.3
13,D4,163.25,112.6,19.7
13,D5,142.88,112.6,13.1
13,C1,174.8,106,39.5
13,C2,174.4,106,32.9
13,C3,171.25,106,26.3
13,C4,161.65,106,19.7
13,C5,142.6,106,13.1
13,B1,173.3,99.4,39.5
13,B2,172.24,99.4,32.9
13,B3,169.63,99.4,26.3
13,B4,159.4,99.4,19.7
13,B5,141.34,99.4,13.1
13,A1,176.6,92.8,39.5
13,A2,175.05,92.8,32.9
13,A3,171.61,92.8,26.3
13,A4,159.4,92.8,19.7
13,A5,140.68,92.8,13.1
14,D1,176.35,136,39.5
14,D2,174.45,136,32.9
14,D3,168.1,136,26.3
14,D4,155.65,136,19.7
14,D5,135.8,136,13.1
14,C1,178.19,131.4,39.5
14,C2,176.75,131.4,32.9
14,C3,169.03,131.4,26.3
14,C4,156.11,131.4,19.7
14,C5,135.85,131.4,13.1
14,B1,179.32,126.8,39.5
14,B2,178.09,126.8,32.9
14,B3,171.22,126.8,26.3
14,B4,158.49,126.8,19.7
14,B5,137.77,126.8,13.1
14,A1,179.78,122.2,39.5
14,A2,179.01,122.2,32.9
14,A3,173.98,122.2,26.3
14,A4,161.71,122.2,19.7
14,A5,140.3,122.2,13.1
15,D1,166.08,165.4,39.5
15,D2,165.99,165.4,32.9
15,D3,162.3,165.4,26.3
15,D4,153.17,165.4,19.7
15,D5,135.77,165.4,13.1
15,C1,165.16,160.8,39.5
15,C2,165.53,160.8,32.9
15,C3,162.3,160.8,26.3
15,C4,154.09,160.8,19.7
15,C5,137.06,160.8,13.1
15,B1,166.52,156.2,39.5
15,B2,166.59,156.2,32.9
15,B3,163.82,156.2,26.3
15,B4,155.01,156.2,19.7
15,B5,137.3,156.2,13.1
15,A1,168.36,151.6,39.5
15,A2,168.36,151.6,32.9
15,A3,165.66,151.6,26.3
15,A4,155.93,151.6,19.7
15,A5,138.08,151.6,13.1
16,D1,167.08,194.8,39.5
16,D2,167.04,194.8,32.9
16,D3,163.11,194.8,26.3
16,D4,153.21,194.8,19.7
16,D5,135.24,194.8,13.1
16,C1,168.92,190.2,39.5
16,C2,168.39,190.2,32.9
16,C3,162.45,190.2,26.3
16,C4,152.29,190.2,19.7
16,C5,134.87,190.2,13.1
16,B1,170.32,185.6,39.5
16,B2,168.89,185.6,32.9
16,B3,162.89,185.6,26.3
16,B4,152.1,185.6,19.7
16,B5,134.41,185.6,13.1
16,A1,171.7,181,39.5
16,A2,169.35,181,32.9
16,A3,163.35,181,26.3
16,A4,152.1,181,19.7
16,A5,133.5,181,13.1
17,D1,175.03,224.2,39.5
17,D2,174.81,224.2,32.9
17,D3,169.4,224.2,26.3
17,D4,158.51,224.2,19.7
17,D5,139.27,224.2,13.1
17,C1,171.01,219.6,39.5
17,C2,171.25,219.6,32.9
17,C3,167.14,219.6,26.3
17,C4,157.13,219.6,19.7
17,C5,138.77,219.6,13.1
17,B1,168.5,215,39.5
17,B2,168.95,215,32.9
17,B3,165.65,215,26.3
17,B4,155.75,215,19.7
17,B5,137.85,215,13.1
17,A1,166.2,210.4,39.5
17,A2,166.24,210.4,32.9
17,A3,164.27,210.4,26.3
17,A4,154.48,210.4,19.7
17,A5,136.93,210.4,13.1
18,D1,157.95,253.6,39.5
18,D2,155.37,253.6,32.9
18,D3,149.22,253.6,26.3
18,D4,137.17,253.6,19.7
18,D5,121.57,253.6,13.1
18,C1,169.85,249,39.5
18,C2,166.35,249,32.9
18,C3,160.2,249,26.3
18,C4,148.05,249,19.7
18,C5,130.35,249,13.1
18,B1,174.91,244.4,39.5
18,B2,170.49,244.4,32.9
18,B3,164.34,244.4,26.3
18,B4,152.14,244.4,19.7
18,B5,132.65,244.4,13.1
18,A1,179.25,239.8,39.5
18,A2,174.55,239.8,32.9
18,A3,168.64,239.8,26.3
18,A4,156.2,239.8,19.7
18,A5,134.95,239.8,13.1
